IconKeyValue,Categories
account,user
activate-breakpoints,debug
add,action
archive,file
arrow-both,navigation
arrow-circle-down,navigation
arrow-circle-left,navigation
arrow-circle-right,navigation
arrow-circle-up,navigation
arrow-down,navigation
arrow-left,navigation
arrow-right,navigation
arrow-up,navigation
beaker,tool
bell,notification
bell-dot,notification
bold,text
book,content
bookmark,action
briefcase,general
broadcast,communication
browser,application
bug,debug
calendar,general
call-incoming,communication
call-outgoing,communication
case-sensitive,search
check,status
check-all,action
checklist,content
chevron-down,navigation
chevron-left,navigation
chevron-right,navigation
chevron-up,navigation
chrome-close,window
chrome-maximize,window
chrome-minimize,window
chrome-restore,window
circle-filled,shape
circle-large-filled,shape
circle-large,shape
circle-slash,status
circuit-board,tool
clear-all,action
clippy,action
close,action
close-all,action
cloud,storage
cloud-download,action
cloud-upload,action
code,development
coffee,general
collapse-all,action
color-mode,settings
comment,communication
comment-discussion,communication
copilot,ai
copy,action
credit-card,general
dash,general
dashboard,application
database,storage
debug,debug
debug-alt,debug
debug-console,debug
device-camera,device
device-camera-video,device
device-mobile,device
diff,git
diff-added,git
diff-ignored,git
diff-modified,git
diff-removed,git
diff-renamed,git
edit,action
error,status
extensions,application
eye,action
eye-closed,action
file,file
file-code,file
files,file
filter,action
folder,file
folder-opened,file
gear,settings
git-branch,git
git-commit,git
git-merge,git
git-pull-request,git
globe,general
graph,visualization
heart,general
home,navigation
info,status
issues,general
json,development
key,security
law,general
library,general
lightbulb,general
link,general
link-external,action
list-ordered,content
list-unordered,content
loading,status
location,general
mail,communication
markdown,development
menu,navigation
merge,action
mic,device
mirror,action
more,navigation
move,action
new-file,file
new-folder,file
note,content
notebook,development
organization,user
output,development
package,development
pass,status
person,user
pin,action
play,action
plug,general
preview,action
project,general
question,general
record,action
redo,action
refresh,action
regex,search
remote,connection
remove,action
replace,action
repo,git
report,general
rocket,general
save,action
save-all,action
search,search
server,general
settings,settings
settings-gear,settings
shield,security
source-control,git
sparkle,ai
split-horizontal,layout
split-vertical,layout
star,general
symbol-class,symbol
symbol-method,symbol
tag,general
terminal,application
text-size,text
trash,action
unlock,security
verified,status
watch,action
window,layout
workspace-trusted,status
zoom-in,action
zoom-out,action
add-small,action
agent,ai
alert,status
array,symbol
arrow-small-down,navigation
arrow-small-left,navigation
arrow-small-right,navigation
arrow-small-up,navigation
arrow-swap,action
attach,action
azure,brand
azure-devops,brand
beaker-stop,tool
bell-slash,notification
bell-slash-dot,notification
blank,general
bracket-dot,symbol
bracket-error,symbol
build,development
chat-sparkle,ai
chat-sparkle-error,ai
chat-sparkle-warning,ai
chip,device
circle-outline,shape
circle-small,shape
circle-small-filled,shape
clockface,general
clone,action
cloud-small,storage
code-oss,brand
code-review,git
collection,general
collection-small,general
combine,action
comment-discussion-quote,communication
comment-discussion-sparkle,ai
comment-draft,communication
comment-unresolved,communication
compass,navigation
compass-active,navigation
compass-dot,navigation
copilot-blocked,ai
copilot-error,ai
copilot-in-progress,ai
copilot-large,ai
copilot-not-connected,ai
copilot-snooze,ai
copilot-success,ai
copilot-unavailable,ai
