IconKeyValue,Keywords
account,person people face user contact profile avatar
activate-breakpoints,debug dot circle toggle switch enable
add,plus new create combine more insert
archive,save box delivery package store compress
arrow-both,switch swap exchange bidirectional transfer
arrow-circle-down,download direction navigate round
arrow-circle-left,back direction navigate round previous
arrow-circle-right,forward direction navigate round next
arrow-circle-up,upload direction navigate round
arrow-down,direction navigate sort download descend
arrow-left,direction navigate back previous
arrow-right,direction navigate forward next
arrow-up,direction navigate sort upload ascend
beaker,test lab tube science experiment flask
bell,alert notify notification alarm reminder
bell-dot,alert notify notification alarm unread badge
bold,text format weight font style strong
book,library text read documentation manual guide
bookmark,save mark favorite remember flag
briefcase,work workplace business professional job
broadcast,tower signal connect connection transmit wireless
browser,web internet page window site
bug,error issue insect problem defect
calendar,day time week month date schedule event planner
call-incoming,phone call voice connection receive
call-outgoing,phone call voice connection send
case-sensitive,search filter option letters words text
check,checkmark select checked mark complete finish done accept approve success
check-all,checkmark select everything checked mark complete finish done accept approve bulk
checklist,checkmark select checked mark complete finish done todo task list
chevron-down,twistie tree node folder fold collapse expand dropdown
chevron-left,twistie tree node folder fold collapse back
chevron-right,twistie tree node folder fold expand forward
chevron-up,twistie tree node folder fold collapse expand
chrome-close,menu bar window dismiss exit quit
chrome-maximize,menu bar window large increase expand
chrome-minimize,menu bar window small decrease reduce
chrome-restore,menu bar window resize normal
circle-filled,dot round small bullet point breakpoint
circle-large-filled,dot round bullet point
circle-large,dot round bullet point outline
circle-slash,error block stop disable prohibited forbidden
circuit-board,iot device process hardware technology
clear-all,reset remove delete clean empty
clippy,clipboard document edit copy paste
close,remove delete cancel stop dismiss exit
close-all,remove bulk dismiss exit
cloud,online service storage sync remote
cloud-download,install import retrieve fetch
cloud-upload,export save send publish
code,embed script programming development source
coffee,break drink beverage java pause
collapse-all,bulk fold minimize hide tree
color-mode,switch dark light contrast theme toggle
comment,dialog message bubble chat feedback note
comment-discussion,dialog message bubble chat conversation feedback
copilot,ai assistant help automation suggestion
copy,duplicate clone clipboard paste
credit-card,payment merchant money billing purchase
dash,line minus subtract hyphen separator
dashboard,panel stats dial overview metrics
database,sql storage data server table
debug,run test troubleshoot fix breakpoint
debug-alt,run execute play start
debug-console,terminal command input compile build output
device-camera,capture picture image photo screenshot
device-camera-video,movie record capture video film
device-mobile,phone handheld smartphone mobile responsive
diff,compare changes difference git version
diff-added,git change new insert green
diff-ignored,git change skip excluded
diff-modified,git change edit updated yellow
diff-removed,git change delete removed red
diff-renamed,git change move renamed
edit,pencil modify write change update
error,stop problem issue alert warning critical
extensions,plugin addon package module marketplace
eye,view watch see visibility preview
eye-closed,hide hidden invisible privacy conceal
file,document text page content
file-code,source programming script development
files,documents multiple explorer browser
filter,funnel sort search refine narrow
folder,directory container storage organize
folder-opened,directory container storage organize expanded
gear,settings configuration preferences options setup
git-branch,source control version tree fork
git-commit,save record version snapshot
git-merge,combine join integrate branch
git-pull-request,pr review merge contribution
globe,world internet web international network
graph,chart visualization data analytics statistics
heart,like favorite love bookmark
home,house main start dashboard
info,information help about details
issues,bug problem task ticket github
json,bracket data format code structure
key,password secret access security authentication
law,legal license terms compliance
library,collection repository storage archive
lightbulb,idea suggestion tip hint smart
link,url hyperlink connection chain reference
link-external,url open new outside external
list-ordered,numbered sequence steps order
list-unordered,bullet items points
loading,spinner progress wait processing busy
location,map place pin marker gps
mail,email message envelope communication
markdown,text format document md writing
menu,hamburger navigation options list
merge,combine join unite integrate
mic,microphone audio voice record sound
mirror,reflect copy duplicate sync
more,ellipsis menu options actions dots
move,drag reorder relocate transfer
new-file,create add document blank
new-folder,create add directory blank
note,document memo text write
notebook,jupyter code document interactive
organization,company business group team
output,result console terminal log
package,box module library dependency
pass,check success complete done approved
person,user account profile human contact
pin,attach fix stick bookmark
play,run start execute begin
plug,extension connect addon power
preview,view see look display
project,workspace folder solution repository
question,help info unknown ask
record,capture start save log
redo,repeat forward restore again
refresh,reload update sync restart
regex,pattern search expression match
remote,server cloud ssh connection
remove,delete trash clear eliminate
replace,swap substitute change exchange
repo,repository git source project
report,document analytics summary data
rocket,launch deploy fast start
save,disk store keep preserve
save-all,disk store keep preserve bulk
search,find query look magnify locate
server,host backend database remote
settings,gear configuration preferences options
settings-gear,configuration preferences options setup
shield,security protect safety guard
source-control,git version scm branch
sparkle,ai magic auto smart copilot
split-horizontal,divide layout pane window
split-vertical,divide layout pane window
star,favorite bookmark rating highlight
symbol-class,code object type definition
symbol-method,code function procedure definition
tag,label mark version release
terminal,console command shell cli
